0,1,2,3,4,5,6,7,8,9,10
10,16,40,29,33,30,35,4,34,32,25
60,91,126,163,73,79,130,66,72,133,86
190,22,183,84,116,4,176,198,179,182,207
43,48,216,212,217,211,156,209,139,208,210
251,155,260,375,331,254,329,18,274,356,222
407,68,406,405,3,349,429,387,153,400,396
195,255,433,430,148,319,120,150,90,432,74
492,450,511,452,441,443,467,440,40,468,91
518,150,550,328,463,322,528,93,430,514,30
697,658,620,589,10,280,661,610,672,434,659
703,822,683,811,816,810,801,807,812,794,820
9,546,0,486,128,174,833,559,7,661,829
841,605,578,857,193,840,573,644,636,558,844
541,500,43,134,263,38,51,244,861,863,105
124,186,44,64,622,884,195,205,586,533,519
943,928,287,937,930,881,923,880,870,929,218
968,969,967,965,1006,1002,1007,1009,955,246,977
796,1030,685,1038,1059,792,1065,412,465,416,228
535,0,517,175,515,1040,1041,1057,181,167,770
387,1163,104,1164,840,644,406,155,217,214,641
218,243,1166,939,4,33,853,923,588,30,1167
356,1156,26,783,214,737,1101,1206,1187,321,1195
1266,601,1274,1271,1053,1267,1275,1242,1246,1296,934
586,587,619,60,669,0,284,1307,1305,425,603
1223,505,33,7,470,508,531,733,732,853,872
827,551,1408,1384,487,1364,731,1190,1376,164,352
1447,321,47,105,167,736,665,839,560,127,718
603,113,1459,58,416,768,648,23,420,40,1299
1019,1371,1468,195,150,386,1476,1482,202,1068,1458
1489,184,337,39,132,500,116,97,855,1485,1487
83,832,614,1508,1518,731,601,399,274,1181,1264
151,958,228,97,433,85,523,873,62,95,1521
1543,324,278,1542,1050,584,366,1051,556,459,635
1408,137,858,1381,849,1429,1338,942,1359,870,91
690,880,808,576,118,1642,664,216,1509,1195,1647
866,380,941,931,732,244,958,194,10,1543,1071
400,1364,1338,1345,386,639,567,396,426,808,419
390,4,389,1327,566,401,1683,1401,426,517,244
263,38,134,305,243,1691,853,50,891,1097,237
461,775,677,1336,1075,160,1088,1072,1658,1696,1547
910,1139,252,512,866,790,1708,68,877,38,303
688,1499,385,792,198,1176,1301,715,692,777,730
315,454,881,923,38,134,915,50,891,237,104
1407,968,420,82,1098,75,796,153,448,729,472
1415,1321,1796,131,734,627,1225,1786,1779,1440,1772
1114,192,1809,1820,1298,1821,60,285,525,1807,1805
1466,7,174,1064,51,1488,67,796,1624,381,417
858,1836,1259,879,1190,1715,1875,1855,1717,549,360
271,1281,559,1730,829,135,718,0,104,244,968
1613,452,113,68,1459,533,578,1335,1879,86,1257
134,315,1208,290,350,335,1256,361,221,274,1595
73,590,327,1887,104,1459,837,1879,1524,899,788
1081,1910,1417,1957,1900,449,1952,1930,1914,1938,245
141,203,1185,15,175,176,623,381,183,1319,1236
92,38,67,97,939,194,244,164,151,39,171
1243,290,350,1011,176,33,788,814,20,1864,534
2007,127,2010,2011,105,124,467,1109,147,7,1115
1029,1063,878,2023,1978,2020,934,2022,1719,697,1048
301,1837,2052,2029,961,92,1610,693,1639,1922,170
1831,883,894,325,955,925,1172,58,488,2053,2055
2056,1162,837,532,899,1157,2057,2061,2062,2063,2059
1564,1608,61,1509,1555,1794,679,832,933,2037,2119
599,1963,553,2137,1155,1118,105,2133,1106,611,743
92,68,790,1162,1155,1118,1172,1712,533,104,876
792,1347,677,1658,85,44,60,64,1524,57,693
578,1,764,124,92,147,1539,866,84,2145,41
409,96,115,139,1297,12,6,1764,355,42,82
